,NAME,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F
91,"  74 YANG, BIN",3,0,3,0,0,0,0,0,0,0,1,3.0,2.33,18.00,17,62,6,1,1,0,1,1,1,0,6,6,5,3,1.667
92,  71 羅錦龍,2,0,2,0,0,0,0,0,0,0,0,2.0,3.00,13.50,14,56,5,0,1,0,1,3,0,0,4,3,1,3,0.333
93,"  17 CHANG, KENG-HAO",2,0,2,0,0,0,0,0,0,0,0,1.1,4.50,20.25,11,50,4,0,2,0,1,1,0,0,3,3,2,1,2.000
94,"  48 LIN, HANG",2,0,2,0,0,0,0,0,0,0,0,1.1,0.75,6.75,6,22,0,0,1,0,0,0,0,0,2,1,2,3,0.667
95,"  16 HUANG, YI-CHIH",2,0,2,0,0,0,0,0,0,0,0,3.1,2.40,5.40,18,65,7,1,1,0,0,3,0,0,4,2,1,6,0.167
96,  15 林樺慶,2,1,1,0,0,0,0,0,0,0,0,6.1,2.05,11.37,34,110,10,1,3,0,1,3,1,0,9,8,7,10,0.700
97,"  57 WU, CHENG-YU",2,1,1,0,0,0,0,1,0,0,0,5.1,2.06,6.75,26,88,9,2,2,0,1,4,1,0,4,4,6,4,1.500
98,"  10 LIN, YU-CHING",1,1,0,0,0,0,0,0,0,0,0,3.2,2.73,12.27,20,84,6,2,4,0,1,1,0,0,5,5,2,6,0.333
99,  54 郭力瑋,1,0,1,0,0,0,0,0,0,0,0,1.0,2.00,9.00,6,17,2,1,0,0,0,0,0,0,2,1,2,2,1.000
100,"  68 KAO, KUO-CHING",1,0,1,0,0,0,0,0,0,0,0,1.0,2.00,0.00,5,13,2,0,0,0,0,0,0,0,0,0,0,3,0.000
101,"  62 CHEN, HU",1,1,0,0,0,0,0,0,0,0,0,3.0,2.33,12.00,17,71,3,0,4,0,0,3,0,0,4,4,4,3,1.333
102,"  45 PENG, HSUAN-HONG",1,0,1,0,0,0,0,0,0,0,0,2.0,1.00,0.00,9,44,1,0,1,0,0,2,0,0,0,0,4,1,4.000
103,"  64 LIN, CHING-KAI",1,0,1,0,0,0,0,0,0,0,0,1.0,3.00,0.00,7,27,3,0,0,0,0,2,0,0,1,0,2,0,0.000
104,"  19 GU-LIN, RUEI-YANG",1,1,0,0,0,0,0,1,0,0,0,5.0,1.60,3.60,23,98,5,1,3,0,0,6,0,0,3,2,6,3,2.000
