,NAME,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F
78,  37 劉昱言,3,0,3,0,0,0,0,0,0,0,1,4.0,1.00,4.50,16,64,2,0,2,0,0,2,0,0,2,2,2,8,0.250
79,  19 林逸翔,3,0,3,0,0,0,0,0,0,0,0,3.1,3.00,13.50,23,90,6,2,4,0,3,3,2,0,7,5,3,4,0.750
80,  99 周磊,3,2,1,0,0,0,0,0,0,0,0,11.1,2.12,10.32,59,231,17,3,7,0,2,4,0,0,13,13,20,9,2.222
81,  99 奇優力,3,3,0,0,0,0,0,1,0,0,0,16.1,1.47,2.76,72,272,13,1,11,0,0,13,1,0,10,5,15,20,0.750
82,  61 張喜凱,3,2,1,0,0,0,0,2,0,0,0,11.1,1.94,6.35,54,219,14,1,8,0,0,5,0,0,10,8,12,15,0.800
83,  19 古林睿煬,3,3,0,0,0,0,2,0,0,0,0,12.0,2.08,5.25,57,236,17,0,8,0,0,14,1,1,7,7,5,13,0.385
84,  89 賴智垣,2,0,2,0,0,0,0,1,0,1,0,2.2,4.12,30.38,18,48,10,1,1,0,0,1,0,0,9,9,2,4,0.500
85,  15 #王凱程,2,0,2,0,0,0,0,0,0,0,0,1.1,3.00,27.00,9,38,2,0,2,0,0,1,0,0,5,4,4,0,0.000
86,  88 李吳永勤,2,0,2,0,0,0,0,0,0,0,0,1.2,2.40,0.00,9,43,3,0,1,0,0,1,0,0,0,0,2,2,1.000
87,  1 陽耀勳,1,0,1,0,0,0,0,0,0,0,0,1.0,2.00,0.00,5,18,1,0,1,0,0,2,0,0,0,0,1,0,0.000
88,  24 陳凱倫,1,0,1,0,0,0,0,0,0,0,0,0.2,0.00,0.00,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000
89,  68 高國慶,1,0,1,0,0,0,0,0,0,0,0,0.2,1.50,0.00,3,10,1,0,0,0,0,1,0,0,0,0,0,1,0.000
90,  16 黃亦志,1,0,1,0,0,0,0,0,0,0,0,0.0,0.00,0.00,3,11,3,1,0,0,0,0,0,0,3,3,0,0,0.000
91,  15 林樺慶,1,1,0,0,0,0,0,1,0,0,0,3.1,1.80,8.10,16,75,2,0,4,0,0,0,0,0,4,3,3,7,0.429
92,  30 李其峰,1,0,1,0,0,0,0,0,0,0,0,1.0,3.00,9.00,7,30,1,0,2,0,1,2,0,0,1,1,0,1,0.000
93,  77 莊昕諺,1,1,0,0,0,0,0,1,0,0,0,2.0,3.50,22.50,14,39,6,0,1,0,1,1,0,0,5,5,2,3,0.667
94,  30 陳韋霖,1,0,1,0,0,0,0,0,0,0,0,0.1,0.00,0.00,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0.000
95,  64 林靖凱,1,0,1,0,0,0,0,0,0,0,0,0.1,0.00,0.00,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0.000
96,  69 方建德,1,1,0,0,0,0,0,1,0,0,0,3.1,2.70,16.20,19,68,8,2,1,0,1,0,0,0,6,6,7,2,3.500
